epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.9277760687104443,0.6441885964912281,0.1682905225863596,0.660431654676259,0.0001
1,val,1.127681108965631,0.6219839142091153,0.21397379912663755,0.6388888888888888,0.0001
2,train,0.878996206741584,0.6716008771929824,0.16651904340124005,0.5913669064748202,0.0001
2,val,0.6438770433213692,0.6487935656836461,0.09388646288209607,0.7604166666666666,0.0001
3,train,0.8552603609206384,0.6935307017543859,0.1696191319751993,0.5287769784172662,0.0001
3,val,0.6703560850895123,0.6407506702412868,0.26419213973799127,0.5104166666666666,0.0001
4,train,0.8466199589403052,0.7001096491228069,0.15057573073516387,0.5424460431654676,0.0001
4,val,0.6768464473233465,0.6554959785522788,0.15502183406113537,0.6458333333333334,0.0001
5,train,0.8276129534892869,0.7135416666666666,0.17493356953055803,0.4676258992805755,0.0001
5,val,0.6352688510360411,0.6849865951742627,0.1812227074235808,0.5277777777777778,0.0001
6,train,0.8164058549885165,0.7206688596491228,0.1682905225863596,0.45971223021582736,0.0001
6,val,0.6029993019219059,0.7010723860589813,0.17248908296943233,0.5,0.0001
7,train,0.7989191344955511,0.7346491228070176,0.16209034543844109,0.4330935251798561,0.0001
7,val,0.5974022704538647,0.7144772117962467,0.1943231441048035,0.4305555555555556,0.0001
8,train,0.7788392080549609,0.7478070175438596,0.15589016829052257,0.40863309352517985,0.0001
8,val,0.6047434835587366,0.725201072386059,0.19213973799126638,0.40625,0.0001
9,train,0.7742247531811396,0.7508223684210525,0.15677590788308238,0.39928057553956836,0.0001
9,val,0.6145406472459236,0.7211796246648794,0.2314410480349345,0.3541666666666667,0.0001
10,train,0.7553828827906073,0.7568530701754386,0.162533215234721,0.37410071942446044,0.0001
10,val,0.6165950023456809,0.7278820375335121,0.0982532751091703,0.5486111111111112,0.0001
11,train,0.7434917636084974,0.7760416666666666,0.14968999114260406,0.3446043165467626,0.0001
11,val,0.6798811200157248,0.6997319034852547,0.11135371179039301,0.6006944444444444,0.0001
12,train,0.682724247376124,0.803453947368421,0.13817537643932684,0.29136690647482016,5e-05
12,val,0.6599429566163479,0.7426273458445041,0.19213973799126638,0.3611111111111111,5e-05
13,train,0.6690553480334449,0.8212719298245613,0.12488928255093003,0.26618705035971224,5e-05
13,val,0.6851637262761113,0.7211796246648794,0.11790393013100436,0.5347222222222222,5e-05
14,train,0.6586973762564492,0.822094298245614,0.13241806908768822,0.2517985611510791,5e-05
14,val,0.6917524449627137,0.725201072386059,0.14847161572052403,0.4756944444444444,5e-05
15,train,0.6316983791296942,0.8432017543859649,0.11293179805137289,0.22805755395683452,5e-05
15,val,0.6709107066287432,0.7359249329758714,0.2074235807860262,0.3541666666666667,5e-05
16,train,0.5905771384897985,0.8563596491228069,0.10407440212577503,0.2079136690647482,2.5e-05
16,val,0.6736179510326232,0.7506702412868633,0.13537117903930132,0.4305555555555556,2.5e-05
17,train,0.583563129891429,0.8610197368421052,0.09787422497785651,0.20575539568345325,2.5e-05
17,val,0.6964180979268481,0.7466487935656837,0.12663755458515283,0.4548611111111111,2.5e-05
18,train,0.5371661147004679,0.8870614035087718,0.0775022143489814,0.17050359712230215,2.5e-05
18,val,0.7001616766241856,0.7386058981233244,0.16812227074235808,0.4097222222222222,2.5e-05
19,train,0.5448443296185711,0.8818530701754386,0.08591674047829938,0.17050359712230215,2.5e-05
19,val,0.6897660588131513,0.739946380697051,0.20305676855895197,0.3506944444444444,2.5e-05
20,train,0.5173946335388903,0.9021381578947368,0.07263064658990256,0.13884892086330936,1.25e-05
20,val,0.7339780760514513,0.7412868632707775,0.1812227074235808,0.3819444444444444,1.25e-05
21,train,0.4964159469594035,0.9076206140350876,0.06421612046058459,0.1381294964028777,1.25e-05
21,val,0.7243763409734731,0.7345844504021448,0.17467248908296942,0.4097222222222222,1.25e-05
22,train,0.4942478759769808,0.909265350877193,0.06643046944198405,0.1302158273381295,1.25e-05
22,val,0.7262365587914598,0.7158176943699732,0.185589519650655,0.4409722222222222,1.25e-05
23,train,0.4917461953142233,0.9081688596491228,0.070859167404783,0.12589928057553956,1.25e-05
23,val,0.7419607348480429,0.7372654155495979,0.15502183406113537,0.4340277777777778,1.25e-05
24,train,0.48139759231554835,0.9117324561403508,0.060673162090345435,0.13309352517985612,6.25e-06
24,val,0.7201165329994529,0.7292225201072386,0.17467248908296942,0.4236111111111111,6.25e-06
25,train,0.45949754994689374,0.9306469298245613,0.05004428697962799,0.10071942446043165,6.25e-06
25,val,0.7480580237851385,0.7319034852546917,0.1615720524017467,0.4375,6.25e-06
