epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.6455363270483518,0.6466557017543859,0.13197519929140833,0.7129496402877697,0.0001
1,val,0.6534113922323682,0.628686327077748,0.10262008733624454,0.7986111111111112,0.0001
2,train,0.6192852168491012,0.6779057017543859,0.1536758193091231,0.5956834532374101,0.0001
2,val,0.621751238289851,0.6662198391420912,0.11135371179039301,0.6875,0.0001
3,train,0.6042425508300463,0.7047697368421052,0.15190434012400356,0.5280575539568345,0.0001
3,val,0.6440250034626304,0.646112600536193,0.06331877729257641,0.8159722222222222,0.0001
4,train,0.5975892517650336,0.7053179824561403,0.15101860053144375,0.5280575539568345,0.0001
4,val,0.6389163783664039,0.6420911528150134,0.185589519650655,0.6319444444444444,0.0001
5,train,0.5770575578014056,0.7261513157894737,0.15190434012400356,0.4719424460431655,0.0001
5,val,0.6766836624043238,0.6675603217158177,0.10698689956331878,0.6909722222222222,0.0001
6,train,0.568291119185456,0.7387609649122807,0.14658990256864482,0.4474820143884892,0.0001
6,val,0.6132534299714956,0.6648793565683646,0.17467248908296942,0.5902777777777778,0.0001
7,train,0.5511725457352504,0.743969298245614,0.1479185119574845,0.4316546762589928,0.0001
7,val,0.6045268969785113,0.710455764075067,0.16812227074235808,0.4826388888888889,0.0001
8,train,0.5437715243090663,0.7612390350877193,0.1470327723649247,0.3877697841726619,0.0001
8,val,0.7034906570777177,0.6742627345844504,0.0982532751091703,0.6875,0.0001
9,train,0.5309210975180593,0.7719298245614035,0.12976085031000886,0.3877697841726619,0.0001
9,val,0.6774280320543387,0.6689008042895442,0.1462882096069869,0.625,0.0001
10,train,0.5176362797879336,0.787828947368421,0.12843224092116917,0.34820143884892085,0.0001
10,val,0.746714323519382,0.6715817694369973,0.09388646288209607,0.7013888888888888,0.0001
11,train,0.5092029059142397,0.7867324561403508,0.13064658990256864,0.3474820143884892,0.0001
11,val,0.7052844419236477,0.6662198391420912,0.15283842794759825,0.6215277777777778,0.0001
12,train,0.46474279737786245,0.8182565789473684,0.10761736049601417,0.302158273381295,5e-05
12,val,0.6802549301459386,0.693029490616622,0.16375545851528384,0.5347222222222222,5e-05
13,train,0.4530545109719561,0.8308662280701754,0.10363153232949512,0.2755395683453237,5e-05
13,val,0.7173092775945689,0.7131367292225201,0.13537117903930132,0.5277777777777778,5e-05
14,train,0.4402461557796127,0.8456688596491228,0.09078830823737821,0.25755395683453236,5e-05
14,val,0.7453541503195469,0.6943699731903485,0.17467248908296942,0.5138888888888888,5e-05
15,train,0.419875858907114,0.8500548245614035,0.09920283436669619,0.23237410071942446,5e-05
15,val,0.6855410442914783,0.7198391420911529,0.16375545851528384,0.4652777777777778,5e-05
16,train,0.39198240448246924,0.875548245614035,0.07661647475642161,0.20215827338129497,2.5e-05
16,val,0.6765374645950327,0.739946380697051,0.1572052401746725,0.4236111111111111,2.5e-05
17,train,0.38076252019719076,0.8873355263157894,0.06465899025686449,0.1906474820143885,2.5e-05
17,val,0.6905164144953199,0.7359249329758714,0.17685589519650655,0.4027777777777778,2.5e-05
18,train,0.36912630687941583,0.897203947368421,0.06510186005314438,0.16402877697841728,2.5e-05
18,val,0.7243491310536382,0.7265415549597856,0.1572052401746725,0.4583333333333333,2.5e-05
19,train,0.36653184282936546,0.9048793859649122,0.06465899025686449,0.1446043165467626,2.5e-05
19,val,0.7247792501551855,0.7332439678284183,0.1703056768558952,0.4201388888888889,2.5e-05
20,train,0.35800116241239666,0.9026864035087718,0.062444641275465014,0.1539568345323741,1.25e-05
20,val,0.7113478548884712,0.7386058981233244,0.1462882096069869,0.4444444444444444,1.25e-05
21,train,0.34360186742586,0.9098135964912281,0.06111603188662533,0.13741007194244603,1.25e-05
21,val,0.7038963624044015,0.7466487935656837,0.15065502183406113,0.4166666666666667,1.25e-05
22,train,0.3319029150563374,0.9229714912280701,0.053144375553587246,0.1158273381294964,1.25e-05
22,val,0.6995138422094146,0.7439678284182306,0.17248908296943233,0.3888888888888889,1.25e-05
23,train,0.34049030458718016,0.9144736842105262,0.06023029229406555,0.12661870503597122,1.25e-05
23,val,0.7137494843063661,0.7412868632707775,0.15065502183406113,0.4305555555555556,1.25e-05
24,train,0.3254106069604556,0.931469298245614,0.04561558901682905,0.10575539568345324,6.25e-06
24,val,0.7207197524587207,0.7386058981233244,0.13537117903930132,0.4618055555555556,6.25e-06
25,train,0.3226108319665256,0.931469298245614,0.04650132860938884,0.10431654676258993,6.25e-06
25,val,0.7240563426516331,0.7453083109919572,0.14192139737991266,0.4340277777777778,6.25e-06
